StopAbbr,Lines
213490,89a Old National Highway / Flat Shoals (Inbound)
213112,"2L Ponce de Leon / Hollowell (Inbound), 2 Ponce de Leon (Inbound)"
213111,"11 Defoor / Emery (Inbound), 1 Joseph Lowery / 17th (Outbound)"
213110,110 Peachtree / Lenox (Outbound)
213445,84a Washington CW loop (Outbound)
213360,"20L Rainbow / Fairington (Inbound&Outbound), 20p Rainbow / Fairington (Inbound&Outbound), 20 Rainbow / Fairington (Inbound&Outbound), 21 Memorial Drive (Inbound&Outbound), 22 Glenwood (Inbound&Outbound), 42 Pryor (Inbound&Outbound), 55 Jonesboro (Inbound&Outbound)"
213443,84a Washington CW loop (Outbound)
213105,7 Monroe / Abernathy (Outbound)
213447,84a Washington CW loop (Outbound)
213511,89a Old National Highway / Flat Shoals (Inbound)
213103,180L Roosevelt / Palmetto (Inbound)
213515,182 Fulton Hwy / Union City (Outbound)
213099,66 Lynhurst / Cascade Springs (Outbound)
213090,"156 Boulder Park (Outbound), 165 Fairburn (Inbound)"
213089,165 Fairburn (Outbound)
213088,"156 Boulder Park (Outbound), 165 Fairburn (Inbound)"
213087,165 Fairburn (Outbound)
213082,11 Defoor / Emery (Inbound)
213081,1 Joseph Lowery / 17th (Inbound)
213080,"11 Defoor / Emery (Inbound), 1 Joseph Lowery / 17th (Outbound)"
213071,"11 Defoor / Emery (Inbound), 1 Joseph Lowery / 17th (Outbound)"
213068,"32 Bouldercrest (Outbound), 74 Moreland / Flat Shoals (Outbound)"
213066,71b Cascade / Fulton Industrial (Outbound)
213064,71b Cascade / Fulton Industrial (Outbound)
213063,71b Cascade / Fulton Industrial (Inbound)
213062,71b Cascade / Fulton Industrial (Outbound)
213061,71b Cascade / Fulton Industrial (Inbound)
213060,71b Cascade / Fulton Industrial (Outbound)
213059,71b Cascade / Fulton Industrial (Inbound)
213058,71b Cascade / Fulton Industrial (Inbound)
213057,71b Cascade / Fulton Industrial (Outbound)
213056,71b Cascade / Fulton Industrial (Outbound)
213055,71b Cascade / Fulton Industrial (Inbound)
213054,"2L Ponce de Leon / Hollowell (Inbound), 2 Ponce de Leon (Inbound)"
213358,81 Venetian Hills / Connally (Inbound&Outbound)
213508,89a Old National Highway / Flat Shoals (Outbound)
213050,17 Clairmont / Briarcliff (Outbound)
213049,17 Clairmont / Briarcliff (Inbound)
213047,109 Peachcrest / Columbia (Outbound)
213046,"20p Rainbow / Fairington (Inbound), 20 Rainbow / Fairington (Inbound)"
213045,"20p Rainbow / Fairington (Inbound), 20 Rainbow / Fairington (Outbound)"
213044,7 Monroe / Abernathy (Inbound)
213042,15 Clifton / Candler (Outbound)
213040,132 Tilly Mill (Inbound)
213039,195 Forest Parkway (Inbound)
213034,"14 Holmes / Blandtown (Inbound), 26a Perry / Hamilton E Holmes / Bolton (Outbound), 26b Perry / Hamilton E Holmes / Jackson (Outbound)"
213033,"14 Holmes / Blandtown (Outbound), 26a Perry / Hamilton E Holmes / Bolton (Inbound), 26b Perry / Hamilton E Holmes / Jackson (Inbound)"
213029,20L Rainbow / Fairington (Outbound)
213516,182 Fulton Hwy / Union City (Inbound)
213028,"2L Ponce de Leon / Hollowell (Outbound), 2 Ponce de Leon (Outbound)"
213024,193 Morrow / Jonesboro (Inbound)
213023,193 Morrow / Jonesboro (Outbound)
213022,193 Morrow / Jonesboro (Inbound)
213021,193 Morrow / Jonesboro (Outbound)
213020,193 Morrow / Jonesboro (Inbound)
213018,193 Morrow / Jonesboro (Inbound)
213017,193 Morrow / Jonesboro (Outbound)
213016,193 Morrow / Jonesboro (Inbound)
213015,193 Morrow / Jonesboro (Outbound)
213010,66 Lynhurst / Cascade Springs (Outbound)
213005,12 Howell Mill / 10th (Outbound)
212989,49L Hank Aaron / McDonough / Constitution (Outbound)
212983,21 Memorial Drive (Inbound)
212982,122 Lawrenceville Hwy (Outbound)
212980,193 Morrow / Jonesboro (Inbound&Outbound)
212979,193 Morrow / Jonesboro (Inbound)
212976,185 Alpharetta (Inbound)
212975,"143 North Point Pkwy / Deerfield (Inbound), 144 North Point Pkwy / Brookside (Inbound)"
212973,34 Gresham (Inbound)
212966,34 Gresham (Outbound)
212964,49L Hank Aaron / McDonough / Constitution (Outbound)
212961,34 Gresham (Outbound)
212958,"191a Riverdale / Charlotte Woods (Outbound), 191b Riverdale / Flint River (Outbound)"
212956,"191a Riverdale / Charlotte Woods (Outbound), 191b Riverdale / Flint River (Outbound)"
212955,"191a Riverdale / Charlotte Woods (Inbound), 191b Riverdale / Flint River (Inbound)"
212957,"191a Riverdale / Charlotte Woods (Inbound), 191b Riverdale / Flint River (Inbound)"
212952,15L Clifton / Panthersville (Outbound)
212951,15L Clifton / Panthersville (Inbound)
212949,96 Virginia / Lakewood (Outbound)
212948,96 Virginia / Lakewood (Inbound)
212947,84b Washington CCW loop (Outbound)
212941,122 Lawrenceville Hwy (Inbound)
212922,"122 Lawrenceville Hwy (Inbound), 125 Clarkston / Chamblee Tucker (Outbound)"
212921,"122 Lawrenceville Hwy (Inbound), 125 Clarkston / Chamblee Tucker (Outbound)"
212920,"122 Lawrenceville Hwy (Outbound), 125 Clarkston / Chamblee Tucker (Inbound)"
212919,"122 Lawrenceville Hwy (Outbound), 125 Clarkston / Chamblee Tucker (Inbound)"
212918,"191a Riverdale / Charlotte Woods (Inbound), 191b Riverdale / Flint River (Inbound)"
212915,66 Lynhurst / Cascade Springs (Inbound)
212914,15L Clifton / Panthersville (Outbound)
212912,800 Lovejoy (Inbound)
212911,800 Lovejoy (Inbound)
212910,800 Lovejoy (Inbound)
212909,800 Lovejoy (Inbound)
213072,"11 Defoor / Emery (Outbound), 1 Joseph Lowery / 17th (Inbound)"
213067,156 Boulder Park (Outbound)
212908,39 Buford Hwy (Outbound)
212904,15 Clifton / Candler (Inbound)
213355,81 Venetian Hills / Connally (Inbound)
212903,39 Buford Hwy (Outbound)
212902,39 Buford Hwy (Inbound)
212901,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
212898,34 Gresham (Inbound)
213390,84a Washington CW loop (Inbound)
212896,34 Gresham (Outbound)
212892,49L Hank Aaron / McDonough / Constitution (Outbound)
212891,49L Hank Aaron / McDonough / Constitution (Inbound)
212890,17 Clairmont / Briarcliff (Inbound)
212882,143 North Point Pkwy / Deerfield (Outbound)
212880,143 North Point Pkwy / Deerfield (Inbound)
212878,143 North Point Pkwy / Deerfield (Inbound)
212889,15L Clifton / Panthersville (Outbound)
212877,115 Covington Hwy (Inbound)
212866,195 Forest Parkway (Inbound)
212887,"191a Riverdale / Charlotte Woods (Outbound), 192 Old Dixie / Tara Boulevard (Outbound)"
212863,119 Hairston / Stone Mtn Village (Inbound)
212862,119 Hairston / Stone Mtn Village (Outbound)
212861,79 Sylvan Hills (Outbound)
212860,15L Clifton / Panthersville (Inbound)
212859,800 Lovejoy (Inbound)
212858,"121L Memorial / Pleasantdale (Outbound), 121 Memorial (Outbound)"
212856,114 Columbia / Snapfinger (Inbound)
