StopAbbr,BusStopType,LineAbbr,IsTP,IsEOL,Helper-0,Helper-1,Helper-2,Helper-3,Helper-4,Helper-5,Helper-6,Helper-7,Helper-8,Helper-9,Helper-10,Helper-11,EOL-0,EOL-1,EOL-2,EOL-3,EOL-4,EOL-5,EOL-6,EOL-7,EOL-8,EOL-9,EOL-10,EOL-11,EOL-12,CountEOL
102558,STR,3,FALSE,FALSE,102558-3-Eastbound-39,,,,,,,,,,,,Helene Mills Sr Ctr,,,,,,,,,,,,,1
103022,SGN,107;21,FALSE,FALSE,103022-107-Westbound-72,103022-21-Westbound-58,,,,,,,,,,,Five Points Stn,Georgia State Stn,,,,,,,,,,,,2
103024,SGN,107;21,FALSE,FALSE,103024-21-Westbound-59,103024-107-Westbound-73,,,,,,,,,,,Five Points Stn,Georgia State Stn,,,,,,,,,,,,2
103026,STR,107;21,FALSE,FALSE,103026-21-Westbound-60,103026-107-Westbound-74,,,,,,,,,,,Five Points Stn,Georgia State Stn,,,,,,,,,,,,2
103032,SGN,899,FALSE,FALSE,103032-899-Southbound-22,,,,,,,,,,,,Georgia State Stn,,,,,,,,,,,,,1
103034,SGN,899,FALSE,FALSE,103034-899-Southbound-23,,,,,,,,,,,,Georgia State Stn,,,,,,,,,,,,,1
103052,STR,3,FALSE,FALSE,103052-3-Eastbound-41,,,,,,,,,,,,Helene Mills Sr Ctr,,,,,,,,,,,,,1
103060,SGN,809,FALSE,FALSE,103060-809-Northbound-4,,,,,,,,,,,,Lindbergh Ctr Stn,,,,,,,,,,,,,1
103083,SGN,186;9,FALSE,FALSE,103083-9-Westbound-56,103083-186-Westbound-29,,,,,,,,,,,King Memorial Stn,Five Points Stn,,,,,,,,,,,,2
103090,SGN,107;21,FALSE,FALSE,103090-21-Westbound-52,103090-107-Westbound-66,,,,,,,,,,,Five Points Stn,Georgia State Stn,,,,,,,,,,,,2
103092,SGN,107;21,FALSE,FALSE,103092-21-Westbound-53,103092-107-Westbound-67,,,,,,,,,,,Five Points Stn,Georgia State Stn,,,,,,,,,,,,2
103094,SGN,107;21,FALSE,FALSE,103094-21-Eastbound-15,103094-107-Eastbound-9,,,,,,,,,,,Kensington Stn,Indian Creek Stn,,,,,,,,,,,,2
103095,SGN,107;21,TRUE,FALSE,103095-107-Westbound-68,103095-21-Westbound-54,,,,,,,,,,,Five Points Stn,Georgia State Stn,,,,,,,,,,,,2
103097,SGN,107;21,FALSE,FALSE,103097-21-Eastbound-14,103097-107-Eastbound-8,,,,,,,,,,,Kensington Stn,Indian Creek Stn,,,,,,,,,,,,2
